Rank,Release,Gross,max_th,Opening,perc_tot_gr,open_th,Open,Close,Distributor,int_gross,world_gross
1,Top Gun: Maverick,718732821,4751,126707459,17.6,4735,2022-05-27,2022-12-16,Paramount Pictures,770000000,1488732821
2,Avatar: The Way of Water,636955746,4340,134100226,21.1,4202,2022-12-16,,20th Century Studios,1539273359,2176229105
3,Black Panther: Wakanda Forever,453474324,4396,181339761,40.0,4396,2022-11-11,,Walt Disney Studios Motion Pictures,389276658,842750982
4,Doctor Strange in the Multiverse of Madness,411331607,4534,187420998,45.6,4534,2022-05-06,,Walt Disney Studios Motion Pictures,544444197,955775804
5,Jurassic World: Dominion,376851080,4697,145075625,38.5,4676,2022-06-10,2022-09-23,Universal Pictures,625127000,1001978080
6,Minions: The Rise of Gru,369695210,4427,107010140,28.9,4391,2022-07-01,,Universal Pictures,569933000,939628210
7,The Batman,369345583,4417,134008624,36.3,4417,2022-03-04,,Warner Bros.,401600000,770945583
8,Thor: Love and Thunder,343256830,4375,144165107,42.0,4375,2022-07-08,2022-10-14,Walt Disney Studios Motion Pictures,417671251,760928081
9,Sonic the Hedgehog 2,190872904,4258,72105176,37.8,4234,2022-04-08,2022-07-08,Paramount Pictures,211783942,402656846
10,Black Adam,168152111,4402,67004323,39.8,4402,2022-10-21,2022-01-13,Warner Bros.,224800000,392952111
11,Puss in Boots: The Last Wish,151221725,4121,12429515,8.2,4099,2022-12-21,,Universal Pictures,217884000,369105725
12,Elvis,151040048,3932,31211579,20.7,3906,2022-06-24,2022-10-14,Warner Bros.,136300000,287340048
13,Uncharted,148648820,4275,44010155,29.6,4275,2022-02-18,,Sony Pictures Entertainment (SPE),253100000,401748820
14,Nope,123277080,3807,44366910,36.0,3785,2022-07-22,2022-10-06,Universal Pictures,47958512,171235592
15,Lightyear,118307188,4255,50577961,42.8,4255,2022-06-17,2022-09-09,Walt Disney Studios Motion Pictures,108118232,226425420
16,Smile,105935048,3659,22609925,21.3,3645,2022-09-30,2022-12-16,Paramount Pictures,110200000,216135048
17,The Lost City,105344029,4283,30453269,28.9,4253,2022-03-25,2022-06-23,Paramount Pictures,85500000,190844029
18,Bullet Train,103368602,4357,30030156,29.1,4357,2022-08-05,,Sony Pictures Entertainment (SPE),135900000,239268602
19,The Bad Guys,97233630,4042,23950245,24.6,4008,2022-04-22,2022-11-17,Universal Pictures,152928648,250162278
20,Fantastic Beasts: The Secrets of Dumbledore,95850844,4245,42151256,44.0,4208,2022-04-15,2022-07-01,Warner Bros.,311100000,406950844
21,DC League of Super-Pets,93657117,4332,23003441,24.6,4314,2022-07-29,,Warner Bros.,113700000,207357117
22,Where the Crawdads Sing,90230760,3650,17253227,19.1,3650,2022-07-15,2022-10-20,Sony Pictures Entertainment (SPE),50000000,140230760
23,The Black Phone,90123230,3156,23633220,26.2,3150,2022-06-24,2022-09-23,Universal Pictures,71317512,161440742
24,Scream,81641405,3666,30018805,36.8,3664,2022-01-14,,Paramount Pictures,58400000,140041405
25,Morbius,73865530,4268,39005895,52.8,4268,2022-04-01,,Columbia Pictures,93595431,167460961
26,Everything Everywhere All at Once,72015067,2220,501305,0.7,10,2022-03-25,,A24,34208930,106223997
27,Ticket to Paradise,68275985,4066,16509095,24.2,3543,2022-10-21,,Universal Pictures,99818878,168094863
28,The Woman King,67328130,3765,19051442,28.3,3765,2022-09-16,,TriStar Pictures,25100000,92428130
29,Halloween Ends,64079860,3901,40050355,62.5,3901,2022-10-14,2022-11-17,Universal Pictures,40107000,104186860
30,Dog,61778069,3827,14883928,24.1,3677,2022-02-18,,United Artists Releasing,22996174,84774243
31,Jackass Forever,57743451,3653,23154388,40.1,3604,2022-02-04,,Paramount Pictures,22740710,80484161
32,A Man Called Otto,53076006,3957,56257,0.1,4,2022-12-30,,Columbia Pictures,30400000,83476006
33,Violent Night,49761525,3723,13450240,27.0,3682,2022-12-02,,Universal Pictures,25947000,75708525
34,"Lyle, Lyle, Crocodile",46888441,4350,11401182,24.3,4350,2022-10-07,,Sony Pictures Entertainment (SPE),57200000,104088441
35,Death on the Nile,45630104,3420,12891123,28.3,3280,2022-02-11,,20th Century Studios,91677131,137307235
36,Don't Worry Darling,45309403,4121,19353213,42.7,4113,2022-09-23,,Warner Bros.,42100000,87409403
37,Downton Abbey: A New Era,44141550,3830,16000495,36.2,3820,2022-05-20,,Focus Features,48459987,92601537
38,Barbarian,40842944,2890,10543948,25.8,2340,2022-09-09,,20th Century Studios,4509393,45352337
39,The Menu,38501125,3228,9004957,23.4,3211,2022-11-18,,Searchlight Pictures,41015668,79516793
40,Dragon Ball Super: Super Hero,38112140,3018,21126919,55.4,3018,2022-08-19,,Crunchyroll,48450000,86562140
41,Strange World,37968963,4174,12151384,32.0,4174,2022-11-23,,Walt Disney Studios Motion Pictures,35652677,73621640
42,Jujutsu Kaisen 0: The Movie,34542754,2418,18009921,52.1,2286,2022-03-18,,Crunchyroll,132202507,166745261
43,The Northman,34233110,3284,12290800,35.9,3234,2022-04-22,,Focus Features,35400000,69633110
44,The Bob's Burgers Movie,31933830,3425,12416819,38.9,3425,2022-05-27,,20th Century Studios,2214920,34148750
45,Beast,31846530,3754,11575855,36.3,3743,2022-08-19,2022-10-14,Universal Pictures,27249279,59095809
46,The Invitation,25100080,3117,6805468,27.1,3114,2022-08-26,2022-10-20,Sony Pictures Entertainment (SPE),8600000,33700080
47,Avatar2022 Re-release,24714024,2040,10529576,42.6,1860,2022-09-23,2022-10-14,Walt Disney Pictures,51298893,76012917
48,Whitney Houston: I Wanna Dance with Somebody,23571483,3625,4700450,19.9,3625,2022-12-23,,TriStar Pictures,33000000,56571483
49,Ambulance,22781115,3412,8699630,38.2,3412,2022-04-08,,Universal Pictures,29519869,52300984
50,Marry Me,22438180,3643,7949980,35.4,3642,2022-02-11,,Universal Pictures,29519869,52300984
51,Father Stu,20884796,2705,5402642,25.9,2705,2022-04-13,,Sony Pictures Entertainment (SPE),28019880,50458060
52,Devotion,20511938,3458,5902803,28.8,3405,2022-11-23,,Columbia Pictures,707583,21592379
53,The Unbearable Weight of Massive Talent,20300157,3036,7131703,35.1,3036,2022-04-22,2022-06-10,Lionsgate,1161367,21673305
54,Prey for the Devil,19802293,2980,7185126,36.3,2980,2022-10-28,,Lionsgate,8816163,29116320
55,Moonfall,19060660,3446,9868997,51.8,3446,2022-02-04,,Lionsgate,24841861,44644154
